"Movie Name","Release Year","Director","Age Difference","Actor 1 Name","Actor 1 Gender","Actor 1 Birthdate","Actor 1 Age","Actor 2 Name","Actor 2 Gender","Actor 2 Birthdate","Actor 2 Age"
"Mr. Right","2015","Paco Cabezas","17","Sam Rockwell","man","1968-11-05","47","Anna Kendrick","woman","1985-08-09","30"
"Oblivion","2013","Joseph Kosinski","17","Tom Cruise","man","1962-07-03","51","Olga Kurylenko","woman","1979-11-14","34"
"Raging Bull","1980","Martin Scorsese","17","Robert De Niro","man","1943-08-18","37","Cathy Moriarty","woman","1960-11-29","20"
"Rock of Ages","2012","Adam Shankman","17","Alec Baldwin","man","1958-04-03","54","Russell Brand","man","1975-06-04","37"
"Secretary","2002","Steven Shainberg","17","James Spader","man","1960-02-07","42","Maggie Gyllenhaal","woman","1977-11-16","25"
"Sleepy Hollow","1999","Tim Burton","17","Johnny Depp","man","1963-06-09","36","Christina Ricci","woman","1980-02-12","19"
"Spectre","2015","Sam Mendes","17","Daniel Craig","man","1968-03-02","47","Léa Seydoux","woman","1985-07-01","30"
"Stepmom","1998","Chris Columbus","17","Ed Harris","man","1950-11-28","48","Julia Roberts","woman","1967-10-28","31"
"The Cooler","2003","Wayne Kramer","17","William H. Macy","man","1950-03-13","53","Maria Bello","woman","1967-04-18","36"
"The Girl on the Train","2016","Tate Taylor","17","Justin Theroux","man","1971-08-10","45","Haley Bennett","woman","1988-01-07","28"
"The Girl with the Dragon Tattoo","2011","David Fincher","17","Daniel Craig","man","1968-03-02","43","Rooney Mara","woman","1985-04-17","26"
"The Only Living Boy in New York","2017","Marc Webb","17","Callum Turner","man","1990-02-15","27","Kate Beckinsale","woman","1973-07-26","44"
"The Whole Nine Yards","2000","Jonathan Lynn","17","Bruce Willis","man","1955-03-19","45","Amanda Peet","woman","1972-01-11","28"
"The Wolverine","2013","James Mangold","17","Hugh Jackman","man","1968-10-12","45","Tao Okamoto","woman","1985-05-22","28"
"Tomorrow Never Dies","1997","Roger Spottiswoode","17","Jonathan Pryce","man","1947-06-01","50","Teri Hatcher","woman","1964-12-08","33"
"Trees Lounge","1996","Steve Buscemi","17","Steve Buscemi","man","1957-12-13","39","Chloë Sevigny","woman","1974-11-18","22"
"A Thousand Words","2012","Brian Robbins","16","Eddie Murphy","man","1961-04-03","51","Kerry Washington","woman","1977-01-31","35"
"American Hustle","2013","David O. Russell","16","Christian Bale","man","1974-01-30","39","Jennifer Lawrence","woman","1990-08-15","23"
"Carol","2015","Todd Haynes","16","Cate Blanchett","woman","1969-05-14","46","Rooney Mara","woman","1985-04-17","30"
"Casablanca","1942","Michael Curtiz","16","Humphrey Bogart","man","1899-12-25","43","Ingrid Bergman","woman","1915-08-29","27"
"Damage","1992","Louis Malle","16","Jeremy Irons","man","1948-09-19","44","Juliette Binoche","woman","1964-03-09","28"
"Elegy","2008","Isabel Coixet","16","Ben Kingsley","man","1943-12-31","65","Patricia Clarkson","woman","1959-12-29","49"
"First Knight","1995","Jerry Zucker","16","Richard Gere","man","1949-08-31","46","Julia Ormond","woman","1965-01-04","30"
"Hobbs & Shaw","2019","David Leitch","16","Dwayne Johnson","man","1972-05-02","47","Vanessa Kirby","woman","1988-04-18","31"
"I Now Pronounce You Chuck and Larry","2007","Dennis Dugan","16","Adam Sandler","man","1966-09-09","41","Jessica Biel","woman","1982-03-03","25"
"Love Actually","2003","Richard Curtis","16","Hugh Grant","man","1960-09-09","43","Martine McCutcheon","woman","1976-05-14","27"
"Love Actually","2003","Richard Curtis","16","Colin Firth","man","1960-09-10","43","Lucia Moniz","woman","1976-09-09","27"
"My Life","1993","Bruce Joel Rubin","16","Michael Keaton","man","1951-09-05","42","Nicole Kidman","woman","1967-06-20","26"
"Nights in Rodanthe","2008","George C. Wolfe","16","Richard Gere","man","1949-08-31","59","Diane Lane","woman","1965-01-21","43"
"Now You See Me","2013","Louis Leterrier","16","Mark Ruffalo","man","1967-11-22","46","Melanie Laurent","woman","1983-02-21","30"
"Regarding Henry","1991","Mike Nichols","16","Harrison Ford","man","1942-07-13","49","Annette Bening","woman","1958-05-29","33"
"Remember the Titans","2000","Boaz Yakin","16","Denzel Washington","man","1954-12-28","46","Nicole Ari Parker","woman","1970-10-07","30"
"Rock of Ages","2012","Adam Shankman","16","Tom Cruise","man","1962-07-03","50","Malin Akerman","woman","1978-05-12","34"
"Safe Haven","2013","Scott Hicks","16","Josh Duhamel","man","1972-11-14","41","Julianne Hough","woman","1988-07-20","25"
"Scoop","2006","Woody Allen","16","Hugh Jackman","man","1968-10-12","38","Scarlett Johansson","woman","1984-11-22","22"
"Sister Act","1992","Emile Ardolino","16","Harvey Keitel","man","1939-05-13","53","Whoopi Goldberg","woman","1955-11-13","37"
"The Diary of a Teenage Girl","2015","Marielle Heller","16","Alexander Skarsgard","man","1976-08-25","39","Bel Powley","woman","1992-03-07","23"
"The Family Stone","2007","Thomas Bezucha","16","Dermot Mulroney","man","1963-10-31","44","Claire Danes","woman","1979-04-12","28"
"The Living Daylights","1987","John Glen","16","Jeroen Krabbe","man","1944-12-05","43","Maryam d'Abo","woman","1960-12-27","27"
"The Lost City","2022","Adam Nee, Aaron Nee","16","Channing Tatum","man","1980-04-26","42","Sandra Bullock","woman","1964-07-26","58"
"The Other Boleyn Girl","2008","Justin Chadwick","16","Eric Bana","man","1968-08-09","40","Scarlett Johansson","woman","1984-11-22","24"
"The Prestige","2006","Christopher Nolan","16","Hugh Jackman","man","1968-10-12","38","Scarlett Johansson","woman","1984-11-22","22"
"The Raven","2012","James McTeigue","16","John Cusack","man","1966-06-28","46","Alice Eve","woman","1982-02-06","30"
"The Sand Pebbles","1966","Robert Wise","16","Steve McQueen","man","1930-03-24","36","Candice Bergen","woman","1946-05-09","20"
"The Wolf of Wall Street","2013","Martin Scorsese","16","Leonardo DiCaprio","man","1974-11-11","39","Margot Robbie","woman","1990-07-02","23"
"Troy","2004","Wolfgang Petersen","16","Brad Pitt","man","1963-12-18","41","Rose Byrne","woman","1979-07-24","25"
"Unfaithful","2002","Adrian Lyne","16","Richard Gere","man","1949-08-31","53","Diane Lane","woman","1965-01-21","37"
"What Lies Beneath","2000","Robert Zemeckis","16","Harrison Ford","man","1942-07-13","58","Michelle Pfeiffer","woman","1958-04-29","42"
"Why Him?","2016","John Hamburg","16","James Franco","man","1978-04-19","38","Zoey Deutch","woman","1994-11-10","22"
"Analyze This","1999","Harold Ramis","15","Billy Crystal","man","1948-03-14","51","Lisa Kudrow","woman","1963-07-30","36"
"Angel Heart","1987","Alan Parker","15","Mickey Rourke","man","1952-09-16","35","Lisa Bonet","woman","1967-11-16","20"
"Casino","1995","Martin Scorsese","15","Robert De Niro","man","1943-08-18","52","Sharon Stone","woman","1958-03-10","37"
"Concussion","2015","Peter Landesman","15","Will Smith","man","1968-09-25","47","Gugu Mbatha-Raw","woman","1983-04-21","32"
"Eternal Sunshine of the Spotless Mind","2004","Michel Gondry","15","Mark Ruffalo","man","1967-11-22","37","Kirsten Dunst","woman","1982-04-30","22"
"Hollywood Ending","2002","Woody Allen","15","Treat Williams","man","1951-12-01","51","Tea Leoni","woman","1966-02-25","36"
"Home Again","2017","Hallie Meyers-Shyer","15","Pico Alexander","man","1991-06-03","26","Reese Witherspoon","woman","1976-03-21","41"
"Liberal Arts","2012","Josh Radnor","15","Josh Radnor","man","1974-07-29","38","Elizabeth Olsen","woman","1989-02-16","23"
"Licence to Kill","1989","John Glen","15","Timothy Dalton","man","1946-03-21","43","Carey Lowell","woman","1961-02-11","28"
"Music and Lyrics","2007","Marc Lawrence","15","Hugh Grant","man","1960-09-09","47","Drew Barrymore","woman","1975-02-22","32"
"Once Upon a Time in Hollywood","2019","Quentin Tarantino","15","Leonardo DiCaprio","man","1974-11-11","45","Lorenza Izzo","woman","1989-09-19","30"
"Private Parts","1997","Betty Thomas","15","Howard Stern","man","1954-01-12","43","Mary McCormack","woman","1969-02-08","28"
"Serena","2014","Susanne Bier","15","Bradley Cooper","man","1975-01-05","39","Jennifer Lawrence","woman","1990-08-15","24"
"Sex and the City","2008","Michael Patrick King","15","Jason Lewis","man","1971-06-25","37","Kim Cattrall","woman","1956-08-21","52"
"Silver Linings Playbook","2012","David O. Russell","15","Bradley Cooper","man","1975-01-05","37","Jennifer Lawrence","woman","1990-08-15","22"
"The American","2010","Anton Corbijn","15","George Clooney","man","1961-05-06","49","Violante Placido","woman","1976-05-01","34"
"The Gift","2000","Sam Raimi","15","Greg Kinnear","man","1963-06-17","37","Katie Holmes","woman","1978-12-18","22"
"The Lover","1992","Jean-Jacques Annaud","15","Tony Leung Ka-fai","man","1958-02-01","34","Jane March","woman","1973-03-20","19"
"The Man with the Golden Gun","1974","Guy Hamilton","15","Roger Moore","man","1927-10-14","47","Britt Ekland","woman","1942-10-06","32"
"The Reader","2008","Stephen Daldry","15","David Kross","man","1990-07-04","18","Kate Winslet","woman","1975-10-05","33"
"The Whole Truth","2016","Courtney Hunt","15","Jim Belushi","man","1954-06-15","62","Renee Zellweger","woman","1969-04-25","47"
"Working Girl","1988","Mike Nichols","15","Harrison Ford","man","1942-07-13","46","Melanie Griffith","woman","1957-08-09","31"
"8 1/2","1963","Federico Fellini","14","Marcello Mastroianni","man","1924-09-28","39","Claudia Cardinale","woman","1938-04-15","25"
"A Perfect Murder","1998","Andrew Davis","14","Viggo Mortensen","man","1958-10-20","40","Gwyneth Paltrow","woman","1972-09-27","26"
"Ad Astra","2019","James Gray","14","Brad Pitt","man","1963-12-18","56","Liv Tyler","woman","1977-07-01","42"
"Always Be My Maybe","2019","Nahnatchka Khan","14","Daniel Dae Kim","man","1968-08-04","51","Ali Wong","woman","1982-04-19","37"
"An Education","2009","Lone Scherfig","14","Peter Sarsgaard","man","1971-03-07","38","Carey Mulligan","woman","1985-05-28","24"
"Basic Instinct","1992","Paul Verhoeven","14","Michael Douglas","man","1944-09-25","48","Sharon Stone","woman","1958-03-10","34"
"Because I Said So","2007","Michael Lehmann","14","Tom Everett Scott","man","1970-09-07","37","Mandy Moore","woman","1984-04-10","23"
"Dreamgirls","2006","Bill Condon","14","Jamie Foxx","man","1967-12-13","39","Jennifer Hudson","woman","1981-09-12","25"
"Dreamgirls","2006","Bill Condon","14","Jamie Foxx","man","1967-12-13","39","Beyonce Knowles","woman","1981-09-04","25"
"Fifty Shades of Black","2016","undefined","14","Marlon Wayans","man","1972-07-23","44","Kali Hawk","woman","1986-10-04","30"
"French Kiss","1995","Lawrence Kasdan","14","Kevin Kline","man","1947-10-24","48","Meg Ryan","woman","1961-11-19","34"
"From Russia with Love","1963","Terence Young","14","Sean Connery","man","1930-08-25","33","Aliza Gur","woman","1944-04-01","19"
"High Society","1956","Charles Walters","14","Frank Sinatra","man","1915-12-12","41","Grace Kelly","woman","1929-11-12","27"
"Irrational Man","2015","Woody Allen","14","Joaquin Phoenix","man","1974-10-28","41","Emma Stone","woman","1988-11-06","27"
"Keeping Up with the Joneses","2016","Greg Mottola","14","Jon Hamm","man","1971-03-10","45","Gal Gadot","woman","1985-04-30","31"
"Licence to Kill","1989","John Glen","14","Robert Davi","man","1953-06-26","36","Talisa Soto","woman","1967-03-27","22"
"Mission: Impossible III","2006","J.J. Abrams","14","Tom Cruise","man","1962-07-03","44","Michelle Monaghan","woman","1976-03-23","30"
"Pushing Tin","1999","Mike Newell","14","Billy Bob Thornton","man","1955-08-04","44","Cate Blanchett","woman","1969-05-14","30"
"Rumor Has It...","2005","Rob Reiner","14","Kevin Costner","man","1955-01-18","50","Jennifer Aniston","woman","1969-02-11","36"
"Star Wars","1977","George Lucas","14","Harrison Ford","man","1942-07-13","35","Carrie Fisher","woman","1956-10-21","21"
"Ted 2","2015","Seth MacFarlane","14","Mark Wahlberg","man","1971-06-05","44","Amanda Seyfried","woman","1985-12-03","30"
"The American President","1995","Rob Reiner","14","Michael Douglas","man","1944-09-25","51","Annette Bening","woman","1958-05-29","37"
"The Beach","2000","Danny Boyle","14","Leonardo DiCaprio","man","1974-11-11","26","Tilda Swinton","woman","1960-12-05","40"
"The Crush","1993","Alan Shapiro","14","Cary Elwes","man","1962-10-26","31","Alicia Silverstone","woman","1976-10-04","17"
"The Favourite","2018","Yorgos Lanthimos","14","Olivia Colman","woman","1974-01-30","44","Emma Stone","woman","1988-11-06","30"
"The Gift","2000","Sam Raimi","14","Keanu Reeves","man","1964-09-02","36","Katie Holmes","woman","1978-12-18","22"
"The Legend of Tarzan","2016","David Yates","14","Alexander Skarsgard","man","1976-08-25","40","Margot Robbie","woman","1990-07-02","26"
"The Living Daylights","1987","John Glen","14","Timothy Dalton","man","1946-03-21","41","Maryam d'Abo","woman","1960-12-27","27"
"The Quiet American","2002","Phillip Noyce","14","Brendan Fraser","man","1968-12-03","34","Do Thi Hai Yen","woman","1982-10-01","20"
"We Bought a Zoo","2011","Cameron Crowe","14","Matt Damon","man","1970-10-08","41","Scarlett Johansson","woman","1984-11-22","27"
"Widows","2018","Steve McQueen","14","Jon Bernthal","man","1976-09-20","42","Elizabeth Debicki","woman","1990-08-24","28"
"3000 Miles to Graceland","2001","Demian Lichtenstein","13","Kurt Russell","man","1951-03-17","50","Courteney Cox","woman","1964-06-15","37"
"A Star Is Born","1954","George Cukor","13","James Mason","man","1909-05-15","45","Judy Garland","woman","1922-06-10","32"
"Aloha","2015","Cameron Crowe","13","Bradley Cooper","man","1975-01-05","40","Emma Stone","woman","1988-11-06","27"
"Anna Karenina","2012","Joe Wright","13","Jude Law","man","1972-12-29","40","Keira Knightley","woman","1985-03-26","27"
"Bohemian Rhapsody","2018","Bryan Singer","13","Rami Malek","man","1981-05-12","37","Lucy Boynton","woman","1994-01-17","24"
"Bridge of Spies","2015","Steven Spielberg","13","Tom Hanks","man","1956-07-09","59","Amy Ryan","woman","1969-05-03","46"
"Die Another Day","2002","Lee Tamahori","13","Pierce Brosnan","man","1953-05-16","49","Halle Berry","woman","1966-08-14","36"
"Elf","2003","Jon Favreau","13","Will Ferrell","man","1967-07-16","36","Zooey Deschanel","woman","1980-01-17","23"
"Emma.","2020","   Autumn de Wilde","13","Johnny Flynn","man","1983-03-14","37","Anya Taylor-Joy","woman","1996-04-16","24"
"Eternal Sunshine of the Spotless Mind","2004","Michel Gondry","13","Jim Carrey","man","1962-01-17","42","Kate Winslet","woman","1975-10-05","29"
"Feeling Minnesota","1996","Steven Baigelman","13","Vincent D'Onofrio","man","1959-06-30","37","Cameron Diaz","woman","1972-08-30","24"
"For Your Eyes Only","1981","John Glen","13","Chaim Topol","man","1935-09-09","46","Cassandra Harris","woman","1948-12-15","33"
"How Stella Got Her Groove Back","1998","Kevin Rodney Sullivan","13","Angela Bassett","woman","1958-08-16","40","Taye Diggs","man","1971-01-02","27"
"John Q.","2002","Nick Cassavetes","13","Denzel Washington","man","1954-12-28","48","Kimberly Elise","woman","1967-04-17","35"
"Joy","2015","David O. Russell","13","Edgar Ramirez","man","1977-03-25","38","Jennifer Lawrence","woman","1990-08-15","25"
"Layer Cake","2004","Matthew Vaughn","13","Daniel Craig","man","1968-03-02","36","Sienna Miller","woman","1981-12-28","23"
"Love Actually","2003","Richard Curtis","13","Alan Rickman","man","1946-02-21","57","Emma Thompson","woman","1959-04-15","44"
"Nine Lives","2016","Barry Sonnenfeld","13","Kevin Spacey","man","1959-07-26","57","Jennifer Garner","woman","1972-04-17","44"
"Palo Alto","2013","Gia Coppola","13","James Franco","man","1978-04-19","35","Emma Roberts","woman","1991-02-10","22"
"Red Notice","2021","Rawson Marshall Thurber","13","Dwayne Johnson","man","1972-05-02","49","Gal Gadot","woman","1985-04-30","36"
"Roman Holiday","1953","William Wyler","13","Gregory Peck","man","1916-04-05","37","Audrey Hepburn","woman","1929-05-04","24"
"Schindler's List","1993","Steven Spielberg","13","Liam Neeson","man","1952-06-07","41","Beatrice Macola","woman","1965-12-02","28"
"Suicide Squad","2016","David Ayer","13","Joel Kinnaman","man","1979-11-25","37","Cara Delevingne","woman","1992-08-12","24"
"The Adjustment Bureau","2011","George Nolfi","13","Matt Damon","man","1970-10-08","41","Emily Blunt","woman","1983-02-23","28"
"The Devil Wears Prada","2006","David Frankel","13","Simon Baker","man","1969-07-30","37","Anne Hathaway","woman","1982-11-12","24"
"The Heartbreak Kid","2007","Bobby Farrelly, Peter Farrelly","13","Ben Stiller","man","1965-11-30","42","Malin Akerman","woman","1978-05-12","29"
"The Illusionist","2006","Neil Burger","13","Edward Norton","man","1969-08-18","37","Jessica Biel","woman","1982-03-03","24"
"The Other Boleyn Girl","2008","Justin Chadwick","13","Eric Bana","man","1968-08-09","40","Natalie Portman","woman","1981-06-09","27"
"The Polka King","2018","Maya Forbes","13","Jack Black","man","1969-08-28","49","Jenny Slate","woman","1982-03-25","36"
"The Sixth Sense","1999","M. Night Shyamalan","13","Bruce Willis","man","1955-03-19","44","Olivia Williams","woman","1968-07-26","31"
"The World Is Not Enough","1999","Michael Apted","13","Pierce Brosnan","man","1953-05-16","46","Sophie Marceau","woman","1966-11-17","33"
"When Harry Met Sally...","1989","Rob Reiner","13","Billy Crystal","man","1948-03-14","41","Meg Ryan","woman","1961-11-19","28"
"Widows","2018","Steve McQueen","13","Liam Neeson","man","1952-06-07","66","Viola Davis","woman","1965-08-11","53"
"Wonder Boys","2000","Curtis Hanson","13","Michael Douglas","man","1944-09-25","56","Frances McDormand","woman","1957-06-23","43"
"X-Men: First Class","2015","Matthew Vaughn","13","Michael Fassbender","man","1977-04-02","38","Jennifer Lawrence","woman","1990-08-15","25"
"Yogi Bear","2010","Eric Brevig","13","Tom Cavanagh","man","1963-10-26","47","Anna Faris","woman","1976-11-29","34"
"You Only Live Twice","1967","Lewis Gilbert","13","Sean Connery","man","1930-08-25","37","Mie Hama","woman","1943-11-20","24"
"All About the Benjamins","2002","Kevin Bray","12","Tommy Flanagan","man","1965-07-03","37","Carmen Chaplin","woman","1977-07-27","25"
"Allied","2016","Robert Zemeckis","12","Brad Pitt","man","1963-12-18","53","Marion Cotillard","woman","1975-09-30","41"
"Bad Santa","2003","Terry Zwigoff","12","Billy Bob Thornton","man","1955-08-04","48","Lauren Graham","woman","1967-03-16","36"
"Because I Said So","2007","Michael Lehmann","12","Gabriel Macht","man","1972-01-22","35","Mandy Moore","woman","1984-04-10","23"
"Beginners","2010","Mike Mills","12","Ewan McGregor","man","1971-03-31","39","Melanie Laurent","woman","1983-02-21","27"
"Casino Royale","2006","Martin Campbell","12","Daniel Craig","man","1968-03-02","38","Eva Green","woman","1980-07-06","26"
"Delivery Man","2013","Ken Scott","12","Vince Vaughn","man","1970-03-28","43","Cobie Smulders","woman","1982-04-03","31"
"Down and Out in Beverly Hills","1986","Paul Mazursky","12","Richard Dreyfuss","man","1947-10-29","39","Elizabeth Peña","woman","1959-09-23","27"
"From Russia with Love","1963","Terence Young","12","Sean Connery","man","1930-08-25","33","Daniela Bianchi","woman","1942-01-31","21"
"Gone with the Wind","1939","Victor Fleming","12","Clark Gable","man","1901-02-01","38","Vivien Leigh","woman","1913-11-05","26"
"Heat","1995","Michael Mann","12","Al Pacino","man","1940-04-25","55","Diane Venora","woman","1952-08-10","43"
"I Think I Love My Wife","2007","Chris Rock","12","Chris Rock","man","1965-02-07","42","Kerry Washington","woman","1977-01-31","30"
"In the Heights","2021","John M. Chu","12","Daphne Rubin-Vega","woman","1969-11-18","52","Stephanie Beatriz","woman","1981-02-10","40"
"Inferno","2016","Ron Howard","12","Tom Hanks","man","1956-07-09","60","Sidse Babett Knudsen","woman","1968-11-22","48"
"Jack and Jill","2011","Dennis Dugan","12","Adam Sandler","man","1966-09-09","45","Katie Holmes","woman","1978-12-18","33"
"Jane Eyre","2011","Cary Fukunaga","12","Michael Fassbender","man","1977-04-02","34","Mia Wasikowska","woman","1989-10-14","22"
"La decima vittima","1965","Elio Petri","12","Marcello Mastroianni","man","1924-09-28","41","Ursula Andress","woman","1936-03-19","29"
"Last Night","2010","Massy Tadjedin","12","Guillaume Canet","man","1973-04-10","37","Keira Knightley","woman","1985-03-26","25"
"Lo Sceicco Bianco","1952","Federico Fellini","12","Alberto Sordi","man","1920-06-15","32","Brunella Bovo","woman","1932-03-04","20"
"Malcolm & Marie","2021","Sam Levinson","12","John David Washington","man","1984-07-28","37","Zendaya","woman","1996-09-01","25"
"Mr. & Mrs. Smith","2005","Doug Liman","12","Brad Pitt","man","1963-12-18","42","Angelina Jolie","woman","1975-06-04","30"
"National Treasure","2004","Jon Turteltaub","12","Nicolas Cage","man","1964-01-07","40","Diane Kruger","woman","1976-07-15","28"
"Natural Born Killers","1994","Oliver Stone","12","Woody Harrelson","man","1961-07-23","33","Juliette Lewis","woman","1973-06-21","21"
"Stella Dallas","1937","King Vidor","12","John Boles","man","1895-10-28","42","Barbara Stanwyck","woman","1907-07-16","30"
"Taken","2008","Pierre Morel","12","Liam Neeson","man","1952-06-07","56","Famke Janssen","woman","1964-11-05","44"
"Ted","2012","Seth MacFarlane","12","Mark Wahlberg","man","1971-06-05","41","Mila Kunis","woman","1983-08-14","29"
"The Astronaut's Wife","1999","Rand Ravich","12","Johnny Depp","man","1963-06-09","36","Charlize Theron","woman","1975-08-07","24"
"The Girl on the Train","2016","Tate Taylor","12","Justin Theroux","man","1971-08-10","45","Rebecca Ferguson","woman","1983-10-19","33"
"The Girl on the Train","2016","Tate Taylor","12","Justin Theroux","man","1971-08-10","45","Emily Blunt","woman","1983-02-23","33"
"The Greatest Showman","2017","Michael Gracey","12","Hugh Jackman","man","1968-10-12","49","Michelle Williams","woman","1980-09-09","37"
"The Proposal","2009","Anne Fletcher","12","Ryan Reynolds","man","1976-10-23","33","Sandra Bullock","woman","1964-07-26","45"
"The Spy Who Dumped Me","2018"," Susanna Fogel","12","Justin Theroux","man","1971-08-10","47","Mila Kunis","woman","1983-08-14","35"
"The Wrestler","2008","Darren Aronofsky","12","Mickey Rourke","man","1952-09-16","56","Marisa Tomei","woman","1964-12-04","44"
"Tootsie","1982","Sydney Pollack","12","Dustin Hoffman","man","1937-08-08","45","Jessica Lange","woman","1949-04-20","33"
"Up in the Air","2009","Jason Reitman","12","George Clooney","man","1961-05-06","48","Vera Farmiga","woman","1973-08-06","36"
"World War Z","2013","Marc Forster","12","Brad Pitt","man","1963-12-18","50","Mireille Enos","woman","1975-09-22","38"
"A Good Year","2006","Ridley Scott","11","Russell Crowe","man","1964-04-07","42","Marion Cotillard","woman","1975-09-30","31"
"A Star Is Born","2018","Bradley Cooper","11","Bradley Cooper","man","1975-01-05","43","Lady Gaga","woman","1986-03-28","32"
"Annie Hall","1977","Woody Allen","11","Woody Allen","man","1935-12-01","42","Diane Keaton","woman","1946-01-05","31"
"Barfly","1987","Barbet Schroeder","11","Mickey Rourke","man","1952-09-16","35","Faye Dunaway","woman","1941-01-14","46"
"Black Panther","2018","Ryan Coogler","11","Daniel Kaluuya","man","1989-02-24","29","Danai Gurira","woman","1978-02-14","40"
"Blow","2001","Ted Demme","11","Johnny Depp","man","1963-06-09","38","Penelope Cruz","woman","1974-04-28","27"
"Boogie Nights","1997","Paul Thomas Anderson","11","Mark Wahlberg","man","1971-06-05","26","Julianne Moore","woman","1960-12-03","37"
"Dreamgirls","2006","Bill Condon","11","Eddie Murphy","man","1961-04-03","45","Anika Noni Rose","woman","1972-09-06","34"
"Emma","1996"," Douglas McGrath","11","Jeremy Northam","man","1961-12-01","35","Gwyneth Paltrow","woman","1972-09-27","24"
"From Russia with Love","1963","Terence Young","11","Sean Connery","man","1930-08-25","33","Martine Beswick","woman","1941-09-26","22"
"Henry’s Crime","2010","Malcolm Venville","11","Keanu Reeves","man","1964-09-02","46","Judy Greer","woman","1975-07-20","35"
"I Could Never Be Your Woman","2007","Amy Heckerling","11","Paul Rudd","man","1969-04-06","38","Michelle Pfeiffer","woman","1958-04-29","49"
"Indiana Jones and the Temple of Doom","1984","Steven Spielberg","11","Harrison Ford","man","1942-07-13","42","Kate Capshaw","woman","1953-11-03","31"
"Larry Crowne","2011","Tom Hanks","11","Tom Hanks","man","1956-07-09","55","Julia Roberts","woman","1967-10-28","44"
"Love Actually","2003","Richard Curtis","11","Laura Linney","woman","1964-02-05","39","Rodrigo Santoro","man","1975-08-22","28"
"Message in a Bottle","1999","Luis Mandoki","11","Kevin Costner","man","1955-01-18","44","Robin Wright","woman","1966-04-08","33"
"Monster's Ball","2001","Marc Forster","11","Billy Bob Thornton","man","1955-08-04","46","Halle Berry","woman","1966-08-14","35"
"Old School","2003","Todd Phillips","11","Luke Wilson","man","1971-09-21","32","Elisha Cuthbert","woman","1982-11-30","21"
"Passengers","2016","Morten Tyldum","11","Chris Pratt","man","1979-06-21","37","Jennifer Lawrence","woman","1990-08-15","26"
"Pride & Prejudice","2005","Joe Wright","11","Matthew Macfadyen","man","1974-10-17","31","Keira Knightley","woman","1985-03-26","20"
"Sabrina","1954","Billy Wilder","11","William Holden","man","1918-04-17","36","Audrey Hepburn","woman","1929-05-04","25"
"Save the Last Dance","2001","Thomas Carter","11","Sean Patrick Thomas","man","1970-12-17","31","Julia Stiles","woman","1981-03-28","20"
"Seven Pounds","2008","Gabriele Muccino","11","Will Smith","man","1968-09-25","40","Rosario Dawson","woman","1979-05-09","29"
"Sex and the City","2008","Michael Patrick King","11","Chris Noth","man","1954-11-13","54","Sarah Jessica Parker","woman","1965-03-25","43"
"Singin' in the Rain","1952","Stanley Donen, Gene Kelly","11","Gene Kelly","man","1912-08-23","40","Jean Hagen","woman","1923-08-03","29"
"Skyfall","2012","Sam Mendes","11","Daniel Craig","man","1968-03-02","44","Berenice Marlohe","woman","1979-05-19","33"
"Smart People","2008","Noam Murro","11","Dennis Quaid","man","1954-04-09","54","Sarah Jessica Parker","woman","1965-03-25","43"
"Solo: A Star Wars Story","2018","Ron Howard","11","Woody Harrelson","man","1961-07-23","57","Thandie Newton","woman","1972-11-06","46"
"Stoker","2013","Park Chan-wook","11","Matthew Goode","man","1978-04-03","35","Mia Wasikowska","woman","1989-10-14","24"
"Sweet November","2001","Pat O'Connor","11","Keanu Reeves","man","1964-09-02","37","Charlize Theron","woman","1975-08-07","26"
"The Big Lebowski","1998","Joel Coen","11","Jeff Bridges","man","1949-12-04","49","Julianne Moore","woman","1960-12-03","38"
"The Decoy Bride","2011","Sheree Folkson","11","David Tennant","man","1971-04-18","40","Alice Eve","woman","1982-02-06","29"
"The Devil’s Advocate","1997","Taylor Hackford","11","Keanu Reeves","man","1964-09-02","33","Charlize Theron","woman","1975-08-07","22"
"The Family Stone","2007","Thomas Bezucha","11","Jamie Kaler","man","1964-09-14","43","Elizabeth Reaser","woman","1975-06-15","32"
"The Fast and the Furious","2001","Rob Cohen","11","Vin Diesel","man","1967-07-18","34","Michelle Rodriguez","woman","1978-07-12","23"
"The Good Girl","2002","Miguel Arteta","11","Jake Gyllenhaal","man","1980-12-19","22","Jennifer Aniston","woman","1969-02-11","33"
"The Great Gatsby","2013","Baz Luhrmann","11","Leonardo DiCaprio","man","1974-11-11","39","Carey Mulligan","woman","1985-05-28","28"
"The Heartbreak Kid","2007","Bobby Farrelly, Peter Farrelly","11","Ben Stiller","man","1965-11-30","42","Michelle Monaghan","woman","1976-03-23","31"
"The Invention of Lying","2009","Ricky Gervais, Matthew Robinson","11","Ricky Gervais","man","1961-06-25","48","Jennifer Garner","woman","1972-04-17","37"
"The Light Between Oceans","2016","Derek Cianfrance","11","Michael Fassbender","man","1977-04-02","39","Alicia Vikander","woman","1988-10-03","28"
"The Thomas Crown Affair","1968","Norman Jewison","11","Steve McQueen","man","1930-03-24","38","Faye Dunaway","woman","1941-01-14","27"
"The Wolf of Wall Street","2013","Martin Scorsese","11","Leonardo DiCaprio","man","1974-11-11","39","Cristin Milioti","woman","1985-08-16","28"
